,Unnamed: 0,name,date,db,smartsim,smartredis,client_total,client_per_node,client_nodes,database_nodes,database_cpus,iterations,tensor_bytes,t_per_dataset,language,client_threads,client(),get_list_min,get_list_mean,get_list_max,loop_time,main()
0,0,aggregate-sess-cons-cpp-N4-T32-DBN8-ITER100-TB1024-TPD4-CT32-621b,2023-07-20,redis-server,0.5.0,0.3.1,128,32,4,8,36,100,1024,4,cpp,32.0,0.00193167,0.00255775,0.0028903627,0.00361919,98.4977,98.5021
0,0,aggregate-sess-cons-cpp-N4-T32-DBN4-ITER100-TB1024-TPD4-CT32-ea31,2023-07-20,redis-server,0.5.0,0.3.1,128,32,4,4,36,100,1024,4,cpp,32.0,0.00193214,0.0024333,0.0031553175,0.00400448,98.6438,98.6481
0,0,aggregate-sess-cons-cpp-N32-T32-DBN4-ITER100-TB1024-TPD4-CT32-ea3b,2023-07-20,redis-server,0.5.0,0.3.1,1024,32,32,4,36,100,1024,4,cpp,32.0,0.00199699,0.0162807,0.019497937,0.0243297,102.384,102.389
0,0,aggregate-sess-cons-cpp-N8-T32-DBN4-ITER100-TB1024-TPD4-CT32-2b51,2023-07-20,redis-server,0.5.0,0.3.1,256,32,8,4,36,100,1024,4,cpp,32.0,0.00233746,0.0053432,0.0058171679,0.00687671,100.816,100.821
0,0,aggregate-sess-prod-cpp-N64-T32-DBN8-ITER100-TB1024-TPD4-b3f9,2023-07-20,redis-server,0.5.0,0.3.1,2048,32,64,8,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-prod-cpp-N16-T32-DBN8-ITER100-TB1024-TPD4-e0ea,2023-07-20,redis-server,0.5.0,0.3.1,512,32,16,8,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-prod-cpp-N8-T32-DBN16-ITER100-TB1024-TPD4-3fb6,2023-07-20,redis-server,0.5.0,0.3.1,256,32,8,16,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-prod-cpp-N128-T32-DBN8-ITER100-TB1024-TPD4-a5c8,2023-07-20,redis-server,0.5.0,0.3.1,4096,32,128,8,36,100,1024,4,cpp,,,,,,,
0,0,aggregate-sess-cons-cpp-N16-T32-DBN16-ITER100-TB1024-TPD4-CT32-d406,2023-07-20,redis-server,0.5.0,0.3.1,512,32,16,16,36,100,1024,4,cpp,32.0,0.00211787,0.00770688,0.0083222819,0.0118778,113.657,113.662
0,0,aggregate-sess-cons-cpp-N64-T32-DBN4-ITER100-TB1024-TPD4-CT32-b10f,2023-07-20,redis-server,0.5.0,0.3.1,2048,32,64,4,36,100,1024,4,cpp,32.0,0.00223517,0.0351758,0.0421981289999999,0.0543044,103.718,103.725
